kode,kelompok,nama,satuan,harga
1.3.02.01.01.0012,Alat Besar Darat,Alat Besar Darat Lainnya Container Sampah 2,Unit,35000000
1.3.02.01.01.0003,Alat Besar Darat,Excavator Excavator PC 130,Unit,1400000000
1.3.02.01.01.0003,Alat Besar Darat,Excavator Excavator PC 75,Unit,800000000
1.3.02.01.01.0011,Alat Besar Darat,Mesin Proses Mesin Katinting,Unit,15000000
1.3.02.10.01.0002,Alat Keamanan,) UMAY WELEN,Unit,9234000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD,Unit,12360000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD,Unit,16274000
1.3.02.10.01.0002,Alat Keamanan,16GB 512GB SSD 14 Touchscreen vas,Unit,86000
1.3.02.10.01.0002,Alat Keamanan,4GB 256GB SSD 14 FHD,Unit,6840000
1.3.02.10.01.0002,Alat Keamanan,4GB 256GB SSD 14 LED HD,Unit,5928000
1.3.02.10.01.0002,Alat Keamanan,4GB 512GB 14”,Unit,6283000
1.3.02.10.01.0002,Alat Keamanan,4GB 512GB SSD,Unit,9476000
1.3.02.10.01.0002,Alat Keamanan,8GB . 18GB,Unit,7158500
1.3.02.10.01.0002,Alat Keamanan,8GB 1TB HDD,Unit,6592000
1.3.02.10.01.0002,Alat Keamanan,8GB 256GB SSD 14,Unit,6270000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD,Unit,13493000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD,Unit,7957658
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,7752000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,12312000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,7725000
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14,Unit,9630500
1.3.02.10.01.0002,Alat Keamanan,8GB 512GB SSD 14 Touchscreen,Unit,9064000
1.3.02.10.01.0002,Alat Keamanan,BGR HOD) t,Unit,3137300
1.3.02.10.01.0002,Alat Keamanan,PC. Komputer,Unit,10145500
1.3.02.10.01.0002,Alat Keamanan,Personal,Unit,14973800
1.3.02.10.01.0002,Alat Keamanan,"Personal C N 2 , pAeky2Se",Unit,3228000
1.3.02.10.01.0002,Alat Keamanan,Personal C N a,Unit,3625600
1.3.02.10.01.0002,Alat Keamanan,Personal C j uU,Unit,26047700
1.3.02.10.01.0002,Alat Keamanan,Personal Comput,Unit,20720000
1.3.02.10.01.0002,Alat Keamanan,"Personal Comput N : 2 q IGE EDD, , U",Unit,7023500
1.3.02.10.01.0002,Alat Keamanan,"Personal Comput ro , ; 2G, HED",Unit,42100
1.3.02.10.01.0002,Alat Keamanan,Personal Compute Notebook SSD,Unit,7991100
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer . Komputer Patel Core) 12 4GB DBRS. EES DD, AMI?",Unit,14151700
1.3.02.10.01.0002,Alat Keamanan,Personal Computer . Komputer eemnncaees TED ANT,Unit,14456600
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer . Komputer nee baa ae PRS EBD, AMD",Unit,14639300
1.3.02.10.01.0002,Alat Keamanan,Personal Computer ASRock Mini PC Inch IPS LCD,Unit,15965000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Handphone iPhone 13 Kapasitas 256 Gb,Unit,14592000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Handphone ‘Samsung Galaxy A15 RAM 8GB ROM 256 GB,Unit,3000000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Intel i7 16GB 1TB SSD FHD,Unit,23940000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Intel i7 16GB 512GB SSD 14° FHD IPS,Unit,20520000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop,Unit,26097200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop (IS eSADYLAsHZ: Win la Heme OHS 4,Unit,17100000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop 14 Inch,Unit,29800000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop 8GB DDR4 board Intel UHD Graphics,Unit,12312000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop = *,Unit,6954000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Amd Ryzen 7 8GB 512GB SSD 14,Unit,12102500
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Apple M1 8GB 256GB SSD 13 Macbook Air,Unit,15048000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop Asus POG, 16 Inch, 512 GB, core i7 8GB",Unit,22800000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Asus Vivobook 14,Unit,12592162
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Athlon 4GB 512GB SSD LED HD,Unit,5700000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Athlon 4GB 512GB. LED HD,Unit,5974000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop BGB DDR¢ on board 512GB M.2 NVMe,Unit,13680000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Bie eu Toe Hy iu SAGB Emimey 128 88D,Unit,4223000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop CORE i3 RAM 4GB SSD 512GB 14,Unit,6954000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop CORE i3 RAM 8GB SSD 256 14,Unit,7182000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop CORE i5 RAM 16GB SSD 512GB,Unit,22784100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop CORE i5 RAM 16GB SSD 512GB 14,Unit,11172000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Core i3 RAM 8 SSD 512,Unit,7410000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop Display, 16;10,SRGB with multi",Unit,16701000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop E3b/ Intel Irs Xe Graphice/ Win! 1 Home+Office,Unit,28296700
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop GeForce RTX wite 4GB of GDDR6,Unit,10374000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop HP envy core I7 gen ram 16gb Itb ssd,Unit,25000000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop HP-envy chre I7 gen ram 16gb.1tb sad,Unit,29877300
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop Home, Up 32 GB memory , Upto 1 TB SSD",Unit,23900000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 4GB 256GB SSD,Unit,5928000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 4GB 256GB SSD,Unit,6042000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 8GB 256GB SSD,Unit,6270000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 8GB 512GB SSD,Unit,6612000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 8GB 512GB SSD,Unit,6156000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel 8GB 512GB SSD,Unit,6384000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel Core i7,Unit,14500000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel Core i7-i9 DDR GB SSD GB-2 TB,Unit,29988000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel i3 8GB 512GB SSD VIPS FHD,Unit,7980000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel i5 8GB 512GB PCle 14 IPS Fingerprint,Unit,16302000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel i7 16GB 512GB SSD,Unit,160560
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel i7 8GB 512GB SSD 14,Unit,15960000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Intel i9 16GB 1TB SSD 16,Unit,25080000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop Intel® Core i7-, 16GB DDR4, 512GB SSD, Intel®",Unit,16053154
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Lenovo,Unit,16200000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop Li ND100 J,4GB 86GB ECle NVMe: 14 ull",Unit,6042000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Pech isteach,Unit,25750000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop RTX3050 32GB 1TB SSD114Hz RGB-17 RTX3050,Unit,15129600
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop RYZEN 7 RAM 16GB SSD ITB Touchscreen,Unit,17252500
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Renee S1ZGE SSD AS VIPS RED,Unit,9120000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 16GB 512GB SSD WUXGA,Unit,11124000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 16Gb 512GB SSD,Unit,22660000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 3 4GB 1TB HDD 14” FHD,Unit,7107000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 3 4GB 512GB 14,Unit,5300000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 3 8GB 256GB SSD 14,Unit,6798000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 5 RAM 16GB SSD 512GB 14,Unit,13239200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 8GB 512GB SSD FHD,Unit,16274000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen 9 32GB 1TB SSD 16,Unit,32960000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen AI Windows Home,Unit,34999000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Ryzen RAM 16GB SSD 512GB,Unit,17100000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop THEGH Me Nome Blea 6. BaD AMD Badoon,Unit,15960000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop Tereteeeen,Unit,15162000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop aaa Bilver 8GB) 26GB,Unit,6840000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Laptop core GPU,Ram 8 GB,512GB,SSD 14 inch SPACE",Unit,38110000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop eee HST2GR SSD Ps),Unit,17100000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop et eae ee ce i7,Unit,18012000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Laptop fiche cece,Unit,11970000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook 2.6GHz, 2MB Cache), 2GB DDR3L, 500GB HDD",Unit,3964400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook 2GB, HDD, LED Backlight HD, Free",Unit,3478400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook AMD, 1.86Ghz, DDR3, 2GB, HDD,",Unit,3149800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook AMD, 1Ghz, DDR3, 2GB, HDD,",Unit,3268800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook AMD, 800MHz, DDRS, 2GB, HDD,",Unit,3478400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook Atom, 1GB, 2GB, HDD, 320GB",Unit,3925900
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook Atom, 1GB, HDD, 10.linches",Unit,4870800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 4GB, HDD, SSD, 256GB",Unit,15074600
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 4GB, SSD, 128GB 11.6inches, OS X",Unit,12321400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 4GB, SSD, 128GB inches, OS X EI",Unit,13368300
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 4GB, SSD, 256GB inches, OS X El",Unit,16153200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 8GB, SSD, 256GB 12 inches, OS X",Unit,18871300
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook SDRAM, 8GB, SSD, 512GB 12 inches, OS X",Unit,22200100
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook ays HDD,,S206B, LED",Unit,5767700
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Notebook iesgeott Surface Pro 7 Core 6 6GB 256GB,Unit,16067000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer Notebook ntom, GHz, DDR3L SDRAM, 2GB, eMMC",Unit,4642000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Notebook ua 16 GB LPDDRSx RAM Storage 512,Unit,22500000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,1920
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,10815000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,2575000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,10300000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,19544300
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,14207900
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,2052000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,40515000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,11000000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC,Tablet,5000000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet 4G (LTE), 64GB, 2GB",Unit,8780800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet AMOLED .2G, 4G (LTE), 128GB",Unit,12009800
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet LPDDRS5 RAM + UFS 3.1 Storage Layar: 11”,Unit,8755000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet RAM GB ROM GB Bluetooth,Unit,19034400
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet Samsung Galaxy TAB S New Gen 512 GB,Unit,25750000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet Samsung Galaxy Tab 59 Ultra 512 GB,Unit,25379200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet Samsung Galaxy Tab S9 Ultra 5G GB,Unit,24720000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet Xiaomi Pad 7 Pro + Pen + Keyboard,Unit,12200000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet ae Galaxy Tab S9 FE Plus 12GB + 256GB,Unit,12978000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet apne pad mini GB wit cellular,Unit,10861400
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC Tablet iPad Pro M4 Inch,Unit,28115000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet pixel 4G (LTE), 64GB, Model",Unit,13482700
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet pixels, 4G (LTE), 32GB, 64GB, 4GB",Unit,5993600
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet pixels, ppi, 4G (LTE), 64GB",Unit,4985200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC Tablet x 4G (LTE), 32GB, 3GB Model",Unit,4702000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC, Komputer HDD 1TB",Unit,15450000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer 1s inet PHD Wini0 OFS,Unit,8722700
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer BAGUE ENE Gaahy UGS DERE Te ADE, Be",Unit,9515100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Cored? 16: GB SSD 1 TE AlLIniOne,Unit,22890000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Dell Inspiron AIO Core,Unit,17717117
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Estercamten aqcinnpe Sinan: eae =,Unit,9881400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer IGexcceasaniso aGu, caer",Unit,12659300
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Intel 4GB 1TB HDD,Unit,5253000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Intel 4GB 256GB SSD,Unit,5665000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Intel 8GB 512GB SSD,Unit,11124000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel@ Core i7-, 2 x 8GB DDR4, 1TB HDD, 27",Unit,23545300
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core 8GB DDR4, 256GB SSD,",Unit,11223400
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i3-, 4GB DDR4,",Unit,9759100
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i3-, 4GB DDR4, 1TB HDD,",Unit,9149000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i3-, 4GB DDR4, 1TB HDD,",Unit,6477200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i5-, 8GB DDR4, 512GB SSD,",Unit,14029200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i7-, 8GB DDR4, 256GB SSD",Unit,18787800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Intel® Core i7-, x 4GB DDR4, 1TB HDD, i",Unit,19336800
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Processor Nesolust Layar lonelstor,Unit,14874800
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer Raaepawcepeen, oae",Unit,14700700
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer Radeon oo02GH O88,Unit,12382200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer SSD VGA intergrated graphics sistim operasi,Unit,15264600
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer a a,Unit,7563100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer aieasoresen cia sbpinviee,Unit,10552100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer bare Corgis: GE. DBRS STAG8 SSD,Unit,10003200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer ee — a se,Unit,23545300
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer i,Unit,8512
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer PC. Komputer ire HDD, 2",Unit,23545300
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer isaneseooniiwagn Rain,Unit,18240200
1.3.02.10.01.0002,Alat Keamanan,Personal Computer PC. Komputer pein Tatel Core at EGRHOD Tek,Unit,18203000
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Server TB Instalasi Windows Server,Unit,245457100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Server eiresnaie steeaelaainn 32GB HDD,Unit,215457100
1.3.02.10.01.0002,Alat Keamanan,Personal Computer Server peieiomich eer=cieial DUBE Mitel Xeon W28,Unit,70000000
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer be. Komputer Intel® Core i3-, 4GB DDR4, 512GB SSD,",Unit,10735200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer fe Komputer Intel® Core 4GB DDR4, 512GB SSD,",Unit,9515200
1.3.02.10.01.0002,Alat Keamanan,"Personal Computer iPad Mini 7 Al7 Pro 8,3+keyboard+pen",Unit,21300000
1.3.02.02.03.0003,Alat Kedokteran,Alat Anekutan Apung Bermotor fp. any Karet ~,Unit,150000000
1.3.02.02.02.0004,Alat Komunikasi,*lat Angkutan Darat Tak Bermotor ... 1istrik s,Unit,3990000
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya Genset Diesel ieee tie SRS Spe CaS SSI EUE,Unit,18481300
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya Mesin Bor Kayu Besi Tembok 12V Hammer Drill,Unit,1981300
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya Mesin Gurinda Tangan MAKITA GA DEAD MAN SWITCH,Unit,1706300
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya Mesin Profile Kayu Wood Rrt12-1,Unit,1878300
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya Pembuka Ban Motor 1.1KWOutside clamping: mm,Unit,19750000
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya evap Hoave Duly,Unit,2519400
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya — Gergaji Somel Mkered urge’,Unit,3595000
1.3.02.03.01.0010,Alat Laboratorium,Alat Bengkel Bermesin Lainnya — Kompressor Mini IOUA iu IIADEAI 29 ORIGINAL,Unit,2850000
1.3.02.03.01.0002,Alat Laboratorium,Eicceas ty ear it yan8 Mesin Amplas Krisbow SANDER ES22-93,Unit,803400
1.3.02.03.01.0002,Alat Laboratorium,FP eamooratia besten vans Gerinda Tangan Besar eee ANGLE GRINDER 180MM EG2,Unit,2049700
1.3.02.03.01.0002,Alat Laboratorium,Fem ete terse a Gergaji Mesin / Pembulat Krisbow JIG SAW 85MM ESJ58-85V,Unit,1385300
1.3.02.03.01.0002,Alat Laboratorium,Lalani ty Sear al yan8 Bor Duduk Teena,Unit,2966400
1.3.02.03.01.0002,Alat Laboratorium,Lisieaae ia ai Sie yar Gergaji Mesin / Pemotong Pee CIRCULAR SAW: AESMMISOOW BSCS,Unit,1859000
1.3.02.03.01.0010,Alat Laboratorium,Mesin Bor Meain Bor Ryu Tekiro Duduk RBD16 16mm unit,Unit,4336500
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Chain Saw Mini Chain Saw Mini,Unit,3605000
1.3.02.03.01.0006,Alat Laboratorium,"Perkakas Bengkel Kayu Gergaj PHX 18 , Peg. Plastik",Unit,57000
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Gergaji Bengkok,Unit,82400
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Gergaji Mesin / Pembulat — FCT,Unit,4635000
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Gergaji Mesin / Pemotong Makita,Unit,3708000
1.3.02.03.01.0006,Alat Laboratorium,"Perkakas Bengkel Kayu Gergaji PHX 18 , Peg.Kayu",Unit,61300
1.3.02.03.01.0006,Alat Laboratorium,"Perkakas Bengkel Kayu Gergaji PHX 20 , Peg. Kayu",Unit,89700
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Gergaji Pangkas Ranting/Dahang,Unit,200000
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Ketan Mesin Krisbow PLANNER 82X3MM EPP9-82,Unit,1028900
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Ketan Mesin Makita KP XK,Unit,3893400
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Mesin Amplas Makita B,Unit,3708000
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Mesin Chain Saw STIHL 070,Unit,18354600
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Mesin Pemotong ponte CUT:OF MACHINE,Unit,2554400
1.3.02.03.01.0006,Alat Laboratorium,"Perkakas Bengkel Kayu Pahat Diamond, 5/8",Unit,17800
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Palu Kondesellery 16,Unit,204100
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Somel Krisbow Wood Bandsaw 12 Inch +,Unit,11448500
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Somel Krisbow Wood Bandsaw 16 Inch,Unit,21784500
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Somel Krisbow Wood Bandsaw 22 Inch,Unit,32445000
1.3.02.03.01.0006,Alat Laboratorium,Perkakas Bengkel Kayu Somel Mini Makita,Unit,10660500
1.3.02.03.01.0002,Alat Laboratorium,Perkakas Konstruksi Logam yang fy presor Krisbow 1 HP 8L 8 BAR 1 PH i,Unit,2008500
1.3.02.03.01.0002,Alat Laboratorium,SrepEna Rea) ¥aN8 Gerinda Tangan Kecil Krisbow ANGLE GRINDER 4IN EG54-100S,Unit,556200
1.3.02.03.01.0002,Alat Laboratorium,fserepanatie Tere a yan8 Mesin Bor Baad Sa LESS IMPACT DRILL 13MM,Unit,1488300
1.3.02.03.01.0010,Alat Laboratorium,j= Bengkel Bermesin Lainnya — Mesin Pemahat Kayu ME -S6LA MIC SETA,Unit,4125000
1.3.02.03.01.0002,Alat Laboratorium,profil Kayu Makita,Unit,2039400
1.3.02.03.01.0002,Alat Laboratorium,ree erable (Berpindah) Kompresor Krisbow 1 HP 8L 8 BAR 1 PH,Unit,1946700
1.1.12.02.02.0006,Alat Listrik,Dies Plastik PVC (UPVC) Pipa Galvanis Medium A Inch - mtr (tebal mm),Batang,276000
1.1.12.02.02.0006,Alat Listrik,Double Socket ¢ 500 mm,Batang,4184900
1.1.12.02.02.0006,Alat Listrik,Irina Plastik PVC (UPVC) Pipa PVC Type D (Air Kotor / Pembuangan) Pipa PVC Type D @ 2 1/2 Inch - 4 meter wavin,Batang,109200
1.1.12.02.02.0006,Alat Listrik,Pipa PVC Type D 9 2 1/2 Inch - 6 meter,Batang,144200
1.1.12.02.02.0006,Alat Listrik,"Pipa PVC Type D @ 3,0 Inch - 6 meter",Batang,210200
1.1.12.02.02.0006,Alat Listrik,"Pipa PVC Type D @ 4,0 Inch - 6 meter",Batang,295700
1.1.12.02.02.0006,Alat Listrik,Pipa PVC Type D Inch - meter wavin,Batang,1306100
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk Access @ 200 x 200 mm,Buah,1233900
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk Bend 15e Bend 15° 9 315 mm,Batang,794400
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk Bend 87> Bend 87° @ 110 mm,Batang,118800
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk Bend 87> Bend 87° @ 200 mm,Batang,454100
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk Bend 87° Bend 87° 0 160 mm,Batang,284300
1.1.12.02.02.0006,Alat Listrik,Pipa Plastik PVC (UPVC) Fitting Pipa PVC SNI untuk CAP (DOP) CAP (DOP) 0 400 mm,Buah,1408900
